pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,dummy
1497,227,nonpun,67,a,insider,meat,17,1
1498,229,nonpun,69,a,littering,sun,17,1
1499,232,nonpun,72,a,next,scarf,17,1
1500,234,nonpun,74,a,cream,paper,17,1
1501,236,nonpun,76,a,offer,authors,17,1
1502,238,nonpun,78,a,pays,used,17,1
1503,240,nonpun,80,a,sense,relaxes,17,1
1504,243,nonpun,3,b,cilia,drinks,17,1
1505,245,nonpun,5,b,clothing,made,17,1
1506,247,nonpun,7,b,perches,decided,17,1
1507,249,nonpun,9,b,math,town,17,1
1508,251,nonpun,11,b,wicker,parents,17,1
1509,254,nonpun,14,b,caesars,use,17,1
1510,257,nonpun,17,b,flea,twenty,17,1
1511,259,nonpun,19,b,salivation,minister,17,1
1512,261,nonpun,21,b,braille,release,17,1
1513,263,nonpun,23,b,grime,fight,17,1
1514,265,nonpun,25,b,bonus,give,17,1
1515,268,nonpun,28,b,ohms,like,17,1
1516,270,nonpun,30,b,tamper,easily,17,1
1517,272,nonpun,32,b,libel,cause,17,1
1518,274,nonpun,34,b,propane,language,17,1
1519,277,nonpun,37,b,tolkien,friend,17,1
1520,279,nonpun,39,b,raven,man,17,1
1521,281,nonpun,41,b,shave,late,17,1
1522,283,nonpun,43,b,irrigation,showed,17,1
1523,285,nonpun,45,b,fuchsia,knows,17,1
1524,288,nonpun,48,b,eire,sat,17,1
1525,290,nonpun,50,b,garden,house,17,1
1526,292,nonpun,52,b,odor,dates,17,1
1527,295,nonpun,55,b,crank,glass,17,1
1528,297,nonpun,57,b,decade,tooth,17,1
1529,298,nonpun,58,b,grammatic,experience,17,1
1530,301,nonpun,61,b,dublin,makes,17,1
1531,304,nonpun,64,b,thief,leader,17,1
1532,305,nonpun,65,b,revolution,smoking,17,1
1533,307,nonpun,67,b,incisor,trouble,17,1
1534,310,nonpun,70,b,altitude,work,17,1
1535,313,nonpun,73,b,digestion,hurricane,17,1
1536,315,nonpun,75,b,seize,clearly,17,1
1537,317,nonpun,77,b,source,eat,17,1
1538,319,nonpun,79,b,espresso,learn,17,1
35,6,pun,6,a,ambiance,job,18,1
83,15,pun,15,a,launch,astronauts,18,1
131,23,pun,23,a,grime,eat,18,1
179,32,pun,32,a,libel,write,18,1
227,39,pun,39,a,raven,madman,18,1
275,49,pun,49,a,alp,switzerland,18,1
323,59,pun,59,a,grammatic,teacher,18,1
371,66,pun,66,a,plants,offices,18,1
419,74,pun,74,a,ream,crop,18,1
467,84,pun,4,b,hair,man,18,1
515,91,pun,11,b,wicked,aron,18,1
563,101,pun,21,b,bail,arrest,18,1
611,108,pun,28,b,holmes,adventures,18,1
659,117,pun,37,b,talking,night,18,1
707,125,pun,45,b,future,forget,18,1
755,136,pun,56,b,lag,cramped,18,1
803,143,pun,63,b,bridge,just,18,1
851,151,pun,71,b,presents,christmas,18,1
899,160,pun,80,b,sense,known,18,1
947,173,nonpun,13,a,whirled,stage,18,1
995,187,nonpun,27,a,screaming,out,18,1
1043,200,nonpun,40,a,alkaline,diet,18,1
1091,212,nonpun,52,a,odor,old,18,1
1139,225,nonpun,65,a,revolution,lived,18,1
1187,238,nonpun,78,a,paste,put,18,1
1235,252,nonpun,12,b,special,birthday,18,1
1283,265,nonpun,25,b,bones,shape,18,1
1331,279,nonpun,39,b,raving,frightened,18,1
1379,293,nonpun,53,b,lot,decided,18,1
1427,306,nonpun,66,b,pants,legs,18,1
1475,319,nonpun,79,b,express,feelings,18,1
1476,162,nonpun,2,a,truth,dentist,18,1
1477,164,nonpun,4,a,hair,william,18,1
1478,166,nonpun,6,a,ambulance,charm,18,1
1479,168,nonpun,8,a,reward,speech,18,1
1480,172,nonpun,12,a,special,good,18,1
1481,173,nonpun,13,a,world,stage,18,1
1482,175,nonpun,15,a,lunch,place,18,1
1483,178,nonpun,18,a,feelings,replaced,18,1
1484,182,nonpun,22,a,spur,donate,18,1
1485,184,nonpun,24,a,pock,began,18,1
1486,186,nonpun,26,a,habit,favorite,18,1
1487,187,nonpun,27,a,screening,out,18,1
1488,190,nonpun,30,a,temper,barista,18,1
1489,192,nonpun,32,a,liable,tabloid,18,1
1490,193,nonpun,33,a,twist,country,18,1
1491,195,nonpun,35,a,leaving,old,18,1
1492,198,nonpun,38,a,magnet,coal,18,1
1493,200,nonpun,40,a,alcohol,diet,18,1
1494,201,nonpun,41,a,slave,long,18,1
1495,203,nonpun,43,a,irritation,irrigation is,18,1
1496,204,nonpun,44,a,ante,sister,18,1
1497,208,nonpun,48,a,fire,former,18,1
1498,210,nonpun,50,a,guarding,flower,18,1
1499,212,nonpun,52,a,order,old,18,1
1500,213,nonpun,53,a,lot,light,18,1
1501,216,nonpun,56,a,lag,runners,18,1
1502,218,nonpun,58,a,traumatic,works,18,1
1503,221,nonpun,61,a,doubling,ireland,18,1
1504,223,nonpun,63,a,bridge,meat,18,1
1505,225,nonpun,65,a,resolution,lived,18,1
1506,227,nonpun,67,a,insider,strong,18,1
